,S.N.,Symbol,Mutual Fund Name,Fund Size (Rs.),Maturity Date,Maturity Period,Weekly Nav (Rs.),Weekly Nav Date,Monthly Nav (Rs.),Monthly Nav Date,LTP (Rs.),As of:,Premium (+) or Discount (-) %
1,1,LEMF,Laxmi Equity Fund,1250000000.0,2024-06-12,7 Years,10.62,2023-07-07,10.56,Jestha 2080,9.47,2023-07-19,-10.83
2,2,NIBLPF,NIBL Pragati Fund,750000000.0,2024-01-11,7 Years,10.52,2023-07-14,10.28,Jestha 2080,9.45,2023-07-19,-10.17
3,3,NMBHF1,NMB Hybrid Fund L- 1,1000000000.0,2023-10-26,7 Years,11.94,2023-07-14,11.44,Jestha 2080,10.95,2023-07-19,-8.29
4,4,NEF,Nabil Equity Fund,1250000000.0,2023-11-06,7 Years,10.71,2023-07-14,10.37,Jestha 2080,9.62,2023-07-19,-10.18
5,5,SAEF,Sanima Equity Fund,1300000000.0,2024-12-26,7 Years,12.95,2023-07-14,12.8,Jestha 2080,11.22,2023-07-19,-13.36
6,6,SEF,Siddhartha Equity Fund,1500000000.0,2027-11-08,10 Years,10.28,2023-07-07,10.23,Jestha 2080,8.99,2023-07-19,-12.55
7,7,CMF1,Citizens Mutual Fund-1,820000000.0,2025-03-03,7 Years,9.9,2023-07-14,9.39,Jestha 2080,8.5,2023-07-19,-14.14
8,8,NICGF,NIC Asia Growth Fund,835200000.0,2025-03-12,7 Years,11.85,2023-07-14,11.61,Jestha 2080,10.26,2023-07-19,-13.42
9,9,NBF2,Nabil Balanced Fund - 2,1120000000.0,2029-05-31,10 Years,10.69,2023-07-14,10.24,Jestha 2080,9.0,2023-07-19,-15.81
10,10,CMF2,Citizens Mutual Fund - 2,560000000.0,2026-07-08,7 Years,10.54,2023-07-14,10.05,Jestha 2080,10.39,2023-07-16,-1.42
11,11,NMB50,NMB 50,1250000000.0,2026-09-01,7 Years,12.22,2023-07-14,11.83,Jestha 2080,10.65,2023-07-19,-12.85
12,12,SIGS2,Siddhartha Investment Growth Scheme-2,1200000000.0,2029-08-26,10 Years,10.44,2023-07-07,10.38,Jestha 2080,8.99,2023-07-19,-13.89
13,13,NICBF,NIC ASIA Balanced Fund,755000000.0,2029-08-27,10 Years,11.14,2023-07-14,10.96,Jestha 2080,9.35,2023-07-19,-16.07
14,14,SFMF,Sunrise First Mutual Fund,860000000.0,2029-11-04,10 Years,12.84,2023-07-14,12.53,Jestha 2080,11.29,2023-07-19,-12.07
15,15,LUK,Laxmi Unnati Kosh,652623600.0,2027-10-01,7 Years,10.84,2023-07-07,10.69,Jestha 2080,9.49,2023-07-19,-12.45
16,16,SLCF,Sanima Large Cap Fund,1200000000.0,2028-02-23,7 years,9.72,2023-07-14,9.56,Jestha 2080,7.85,2023-07-19,-19.24
17,17,KEF,Kumari Equity Fund,1000000000.0,2031-03-18,10 years,10.95,2023-07-14,10.72,Jestha 2080,10.15,2023-07-19,-7.31
18,18,SBCF,Sunrise Bluechip Fund,1250000000.0,2031-03-26,10 years,9.83,2023-07-14,9.63,Jestha 2080,7.89,2023-07-19,-19.74
19,19,PSF,Prabhu Select Fund,1250000000.0,2028-06-21,7 years,10.92,2023-07-14,10.71,Jestha 2080,9.1,2023-07-19,-16.67
20,20,NIBSF2,NIBL Samriddhi Fund - 2,1500000000.0,2031-05-29,10 years,9.22,2023-07-14,9.0,Jestha 2080,8.06,2023-07-19,-12.58
21,21,NICSF,NIC Asia Select-30,1250000000.0,2028-07-05,7 years,10.65,2023-07-14,10.43,Jestha 2080,8.64,2023-07-19,-18.87
22,22,RMF1,RBB Mutual Fund 1,1250000000.0,2028-07-23,7 years,9.53,2023-07-14,9.39,Jestha 2080,7.7,2023-07-19,-19.2
23,23,NBF3,Nabil Balanced Fund III,1250000000.0,2031-09-23,10 years,9.0,2023-07-14,8.79,Jestha 2080,7.65,2023-07-19,-15.0
24,24,MMF1,Mega Mutual Fund - 1,1250000000.0,2031-09-08,10 years,8.79,2023-07-14,8.63,Jestha 2080,7.78,2023-07-19,-11.49
25,25,KDBY,Kumari Dhanabriddhi Yojana,1225072590.0,2032-07-25,10 years,11.02,2023-07-14,10.85,Jestha 2080,9.34,2023-07-19,-15.25
26,26,NICFC,NIC Asia Flexi Cap Fund,1020000000.0,2029-06-15,7 years,10.51,2023-07-14,10.37,Jestha 2080,10.17,2023-07-16,-3.24
27,27,GIBF1,Global IME Balance Fund-I,1025763600.0,2032-07-28,10 years,10.39,2023-07-14,10.11,Jestha 2080,8.83,2023-07-19,-15.01
28,28,NSIF2,NMB Sulav Investment Fund - II,1200000000.0,2032-09-01,10 years,11.21,2023-07-14,10.92,Jestha 2080,9.61,2023-07-19,-14.27
29,29,SAGF,Sanima Growth Fund,672532600.0,2033-11-27,11 years,10.2,2023-07-14,10.09,Jestha 2080,8.75,2023-07-19,-14.22
30,30,NIBLGF,NIBL Growth Fund,1320000000.0,2033-01-17,10 years,10.16,2023-07-14,10.03,Jestha 2080,10.64,2023-07-16,4.72
31,31,SFEF,Sunrise Focused Equity Fund,1000000000.0,2032-02-12,10 years,10.2,2023-07-14,10.05,Jestha 2080,8.95,2023-07-19,-12.25
32,32,PRSF,Prabhu Smart Fund,1000000000.0,2032-03-14,10 years,10.53,2023-07-14,10.43,Jestha 2080,9.52,2023-07-19,-9.59
