,S.N.,Symbol,Mutual Fund Name,Fund Size (Rs.),Maturity Date,Maturity Period,Weekly Nav (Rs.),Weekly Nav Date,Monthly Nav (Rs.),Monthly Nav Date,LTP (Rs.),As of:,Premium (+) or Discount (-) %
1,1,LEMF,Laxmi Equity Fund,1250000000.0,2024-06-12,7 Years,10.61,2023-06-23,9.72,Baisakh 2080,9.0,2023-06-28,-15.17
2,2,NIBLPF,NIBL Pragati Fund,750000000.0,2024-01-11,7 Years,10.28,2023-06-16,9.5,Baisakh 2080,9.33,2023-06-28,-9.24
3,3,NMBHF1,NMB Hybrid Fund L- 1,1000000000.0,2023-10-26,7 Years,11.48,2023-06-23,10.91,Baisakh 2080,10.75,2023-06-28,-6.36
4,4,NEF,Nabil Equity Fund,1250000000.0,2023-11-06,7 Years,10.39,2023-06-23,9.57,Baisakh 2080,9.45,2023-06-28,-9.05
5,5,SAEF,Sanima Equity Fund,1300000000.0,2024-12-26,7 Years,12.79,2023-06-23,11.86,Baisakh 2080,11.1,2023-06-28,-13.21
6,6,SEF,Siddhartha Equity Fund,1500000000.0,2027-11-08,10 Years,10.2,2023-06-23,9.37,Baisakh 2080,8.87,2023-06-28,-13.04
7,7,CMF1,Citizens Mutual Fund-1,820000000.0,2025-03-03,7 Years,9.45,2023-06-23,8.78,Baisakh 2080,8.25,2023-06-28,-12.7
8,8,NICGF,NIC Asia Growth Fund,835200000.0,2025-03-12,7 Years,11.59,2023-06-23,10.87,Baisakh 2080,9.97,2023-06-28,-13.98
9,9,NBF2,Nabil Balanced Fund - 2,1120000000.0,2029-05-31,10 Years,10.3,2023-06-23,9.44,Baisakh 2080,8.97,2023-06-28,-12.91
10,10,CMF2,Citizens Mutual Fund - 2,560000000.0,2026-07-08,7 Years,10.07,2023-06-23,9.32,Baisakh 2080,8.47,2023-06-28,-15.89
11,11,NMB50,NMB 50,1250000000.0,2026-09-01,7 Years,11.88,2023-06-23,10.71,Baisakh 2080,10.95,2023-06-28,-7.83
12,12,SIGS2,Siddhartha Investment Growth Scheme-2,1200000000.0,2029-08-26,10 Years,10.35,2023-06-23,9.45,Baisakh 2080,8.79,2023-06-28,-15.07
13,13,NICBF,NIC ASIA Balanced Fund,755000000.0,2029-08-27,10 Years,10.93,2023-06-23,10.42,Baisakh 2080,9.34,2023-06-28,-14.55
14,14,SFMF,Sunrise First Mutual Fund,860000000.0,2029-11-04,10 Years,12.57,2023-06-23,11.77,Baisakh 2080,10.61,2023-06-28,-15.59
15,15,LUK,Laxmi Unnati Kosh,652623600.0,2027-10-01,7 Years,10.79,2023-06-23,9.98,Baisakh 2080,8.92,2023-06-28,-17.33
16,16,SLCF,Sanima Large Cap Fund,1200000000.0,2028-02-23,7 years,9.53,2023-06-23,8.87,Baisakh 2080,7.99,2023-06-28,-16.16
17,17,KEF,Kumari Equity Fund,1000000000.0,2031-03-18,10 years,10.71,2023-06-23,10.01,Baisakh 2080,8.73,2023-06-28,-18.49
18,18,SBCF,Sunrise Bluechip Fund,1250000000.0,2031-03-26,10 years,9.63,2023-06-23,8.95,Baisakh 2080,7.83,2023-06-28,-18.69
19,19,PSF,Prabhu Select Fund,1250000000.0,2028-06-21,7 years,10.75,2023-06-23,10.17,Baisakh 2080,8.92,2023-06-28,-17.02
20,20,NIBSF2,NIBL Samriddhi Fund - 2,1500000000.0,2031-05-29,10 years,9.0,2023-06-16,8.42,Baisakh 2080,7.7,2023-06-28,-14.44
21,21,NICSF,NIC Asia Select-30,1250000000.0,2028-07-05,7 years,10.47,2023-06-23,9.97,Baisakh 2080,8.44,2023-06-28,-19.39
22,22,RMF1,RBB Mutual Fund 1,1250000000.0,2028-07-23,7 years,9.38,2023-06-23,8.82,Baisakh 2080,7.53,2023-06-28,-19.72
23,23,NBF3,Nabil Balanced Fund III,1250000000.0,2031-09-23,10 years,8.83,2023-06-23,8.16,Baisakh 2080,7.84,2023-06-28,-11.21
24,24,MMF1,Mega Mutual Fund - 1,1250000000.0,2031-09-08,10 years,8.53,2023-06-23,8.08,Baisakh 2080,7.39,2023-06-28,-13.36
25,25,KDBY,Kumari Dhanabriddhi Yojana,1225072590.0,2032-07-25,10 years,10.89,2023-06-23,10.23,Baisakh 2080,8.67,2023-06-28,-20.39
26,26,NICFC,NIC Asia Flexi Cap Fund,1020000000.0,2029-06-15,7 years,10.38,2023-06-23,9.84,Baisakh 2080,8.6,2023-06-28,-17.15
27,27,GIBF1,Global IME Balance Fund-I,1025763600.0,2032-07-28,10 years,10.12,2023-06-23,9.09,Baisakh 2080,8.6,2023-06-28,-15.02
28,28,NSIF2,NMB Sulav Investment Fund - II,1200000000.0,2032-09-01,10 years,10.92,2023-06-16,10.02,Baisakh 2080,9.71,2023-06-28,-11.08
29,29,SAGF,Sanima Growth Fund,672532600.0,2033-11-27,11 years,10.13,2023-06-23,9.84,Baisakh 2080,8.15,2023-06-28,-19.55
30,30,NIBLGF,NIBL Growth Fund,1320000000.0,2033-01-17,10 years,10.03,2023-06-16,9.74,Baisakh 2080,8.11,2023-06-28,-19.14
31,31,SFEF,Sunrise Focused Equity Fund,1000000000.0,2032-02-12,10 years,10.05,2023-06-23,9.88,Baisakh 2080,8.27,2023-06-28,-17.71
32,32,PRSF,Prabhu Smart Fund,1000000000.0,2032-03-14,10 years,10.46,2023-06-23,10.0,Baisakh 2080,8.6,2023-06-28,-17.78
